"run_id","session_id","sequence","repetition","runtime","shuffle_seed","started_at","finished_at","status","startup_time_ns","startup_time_ms","observed_output","program_file","stdout_log","stderr_log","error_message"
"cold_start_s01_r12_deno",1,36,12,"deno",20260816,"2026-08-04T17:47:33.927608+00:00","2026-08-04T17:47:34.082554+00:00","success",132136100,132.1361,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r12_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r12_deno-stderr.log",NA
"cold_start_s01_r13_bun",1,37,13,"bun",20260817,"2026-08-04T17:47:35.089999+00:00","2026-08-04T17:47:35.300688+00:00","success",190088100,190.0881,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r13_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r13_bun-stderr.log",NA
"cold_start_s01_r13_node",1,38,13,"node",20260817,"2026-08-04T17:47:36.308279+00:00","2026-08-04T17:47:36.480267+00:00","success",155194300,155.1943,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r13_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r13_node-stderr.log",NA
"cold_start_s01_r13_deno",1,39,13,"deno",20260817,"2026-08-04T17:47:37.487255+00:00","2026-08-04T17:47:37.640847+00:00","success",131969400,131.9694,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r13_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r13_deno-stderr.log",NA
"cold_start_s01_r14_deno",1,40,14,"deno",20260818,"2026-08-04T17:47:38.648347+00:00","2026-08-04T17:47:38.800212+00:00","success",131131700,131.1317,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r14_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r14_deno-stderr.log",NA
"cold_start_s01_r14_node",1,41,14,"node",20260818,"2026-08-04T17:47:39.808147+00:00","2026-08-04T17:47:40.007990+00:00","success",180947600,180.9476,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r14_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r14_node-stderr.log",NA
"cold_start_s01_r14_bun",1,42,14,"bun",20260818,"2026-08-04T17:47:41.014123+00:00","2026-08-04T17:47:41.242966+00:00","success",196190800,196.1908,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r14_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r14_bun-stderr.log",NA
"cold_start_s01_r15_node",1,43,15,"node",20260819,"2026-08-04T17:47:42.252601+00:00","2026-08-04T17:47:42.428767+00:00","success",157287000,157.287,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r15_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r15_node-stderr.log",NA
"cold_start_s01_r15_deno",1,44,15,"deno",20260819,"2026-08-04T17:47:43.437466+00:00","2026-08-04T17:47:43.593814+00:00","success",135441900,135.4419,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r15_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r15_deno-stderr.log",NA
"cold_start_s01_r15_bun",1,45,15,"bun",20260819,"2026-08-04T17:47:44.602177+00:00","2026-08-04T17:47:44.871123+00:00","success",182078200,182.0782,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r15_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r15_bun-stderr.log",NA
